,市,緯度,経度,停電戸数,2019/9/9 1:09,2019/9/9 22:38,2019/9/10 11:49,2019/9/10 14:31,2019/9/10 17:36
0,千葉市,35.609985,140.118126,84200,,,30900.0,84200,83300
1,市原市,35.497775,140.1156996,65000,,65100.0,64900.0,65000,60200
2,君津市,35.3302375,139.902551,37700,,37700.0,37700.0,37700,37700
3,八街市,35.6658607,140.3178646,31700,,,31700.0,31700,31700
4,香取市,35.8978273,140.4992787,27700,,,,27700,25900
5,富津市,35.3039146,139.8570499,26000,,,,26000,26200
6,館山市,34.9965304,139.8699838,24700,500.0,,,24700,24700
7,南房総市,35.0387486,139.8371399,23000,1000.0,,,23000,23000
8,木更津市,35.3759734,139.9166797,20800,,,,20800,20800
9,佐倉市,35.7234619,140.2240158,20700,,,,20700,20600
10,富里市,35.7268876,140.3430548,19500,,,,19500,19200
11,成田市,35.7767683,140.3183376,19200,,,,19200,18800
12,鴨川市,35.1140584,140.098692,18100,200.0,,,18100,18100
13,旭市,35.7204126,140.6464527,17400,,,,17400,17400
14,山武市,35.602875,140.4134292,16000,,,,16000,16000
15,大網白里市,35.5216038,140.3208929,15400,,,,15400,13600
16,匝瑳市,35.70794,140.5645144,13300,,,,13300,13300
17,四街道市,35.6696551,140.1679445,10800,,,,10800,10100
18,横芝光町,35.66582,140.5048541,10100,,,,10100,10100
