,日時,停電戸数,停電市町村数
0,2019/9/9 0:47,1500.0,3.0
1,2019/9/9 1:09,1700.0,3.0
2,2019/9/9 2:10,38600.0,8.0
3,2019/9/9 3:25,155100.0,19.0
4,2019/9/9 4:38,233500.0,38.0
5,2019/9/9 5:21,407600.0,50.0
6,2019/9/9 6:24,587800.0,53.0
7,2019/9/9 7:15,621700.0,53.0
8,2019/9/9 11:53,633400.0,51.0
9,2019/9/9 12:30,626900.0,51.0
10,2019/9/9 13:58,619700.0,50.0
11,2019/9/9 14:12,617400.0,50.0
12,2019/9/9 15:16,613300.0,50.0
13,2019/9/9 17:26,609800.0,49.0
14,2019/9/9 22:38,592600.0,49.0
15,2019/9/10 6:05,576100.0,49.0
16,2019/9/10 7:04,576100.0,49.0
17,2019/9/10 11:49,570000.0,49.0
18,2019/9/10 14:31,560000.0,49.0
19,2019/9/10 17:36,550000.0,49.0
